,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
count,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0,124526.0
mean,19.193377811862582,21.99181432632543,1743557693.700111,21.61591876395291,70.91040585901739,8.070486484750173,12.991783242053867,169.2371713537735,1014.0561569471436,29.944423654497854,0.13697316223118064,0.005196344538489955,66.12969982172397,40.05498450122866,22.513551386858968,72.51840740086409,9.519461799142348,5.624134718853894,3.446267446155823,11.377595843438318,18.312395804892148,476.9308489070556,58.952468560782485,15.262055249506128,10.685726193726612,24.605519722788816,49.24391533495013,1.7102693413423702,2.6344538489953906,49.69823169458587
std,24.426150070407786,65.79267509433019,15984732.948155336,9.579783376576625,17.243461009016347,7.374827929245316,11.865584681771873,103.4382282227891,10.621187453522127,0.3136045714413877,0.5718764860637771,0.022602338034145682,24.020186621541946,34.07735316841711,11.450851388734357,20.609091638241335,2.669550361266352,1.6680678389459733,3.5659532592183707,8.706783480467209,14.012156808023976,783.1284127177939,31.144384065072273,24.294913189896782,36.99705445602357,37.86908439072995,152.068920785663,0.950718227495973,2.4725602560271334,35.01492155043975
min,-41.3,-175.2,1715849100.0,-29.8,-21.6,2.2,3.6,1.0,947.0,27.96,0.0,0.0,2.0,0.0,-36.7,-34.0,0.0,0.0,0.0,2.2,3.6,-9999.0,0.0,0.0,-9999.0,0.168,-1848.15,1.0,1.0,0.0
25%,3.75,-6.8361,1729761300.0,16.3,61.3,4.0,6.5,80.0,1010.0,29.83,0.0,0.0,50.0,0.0,16.3,61.3,10.0,6.0,0.1,6.4,10.4,211.85,39.0,1.65,1.05,7.1,10.05,1.0,1.0,15.0
50%,17.25,23.24,1743584400.0,24.1,75.4,6.9,11.2,162.0,1014.0,29.93,0.0,0.0,71.0,31.0,25.3,77.6,10.0,6.0,2.1,9.6,15.5,303.4,56.0,5.45,2.45,14.25,20.35,1.0,2.0,49.0
75%,40.4,50.58,1757405700.0,28.1,82.6,11.0,17.6,256.0,1018.0,30.06,0.03,0.0,85.0,75.0,30.1,86.2,10.0,6.0,6.0,15.1,24.3,473.6,75.0,17.76,8.65,28.12,42.18,2.0,3.0,84.0
max,64.15,179.22,1771224300.0,49.2,120.6,1841.2,2963.2,360.0,3006.0,88.77,42.24,1.66,100.0,100.0,51.2,124.2,32.0,19.0,16.3,1845.7,2970.4,38879.398,480.7,427.7,521.33,1614.1,6037.29,6.0,10.0,100.0
